Symbol,Ensembl Gene ID,Entrez,Type,Species,Chr,Position (Mbp),Description,percentage_gc_content,transcript_count,genomeSpan,cds_length,transcript_length,FiveUTR,ThreeUTR,nExons
 LINC02544,ENSG00000261039,NA,lncRNA,Human,6,169.175277,long intergenic non-protein coding RNA 2544 [Source:HGNC Symbol;Acc:HGNC:53578],43.57,1,7565,NA,672,NA,NA,3
 SUGCT-AS1,ENSG00000203446,NA,lncRNA,Human,7,40.538127,SUGCT antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40745],37.99,1,8802,NA,1771,NA,NA,2
 FEZF1-AS1,ENSG00000230316,154860,lncRNA,Human,7,122.303658,FEZF1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41001],49.4,4,6462,NA,1814,NA,NA,4
 FAM131B-AS1,ENSG00000272619,NA,lncRNA,Human,7,143.363899,FAM131B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55208],36.86,1,331,NA,331,NA,NA,1
 LINC03023,ENSG00000254026,NA,lncRNA,Human,8,20.954012,long intergenic non-protein coding RNA 3023 [Source:HGNC Symbol;Acc:HGNC:56154],42.11,1,14893,NA,550,NA,NA,4
 ,ENSG00000253746,NA,lncRNA,Human,8,37.405439,novel transcript,42.46,1,1286,NA,578,NA,NA,2
 LINC01605,ENSG00000253161,NA,lncRNA,Human,8,37.421341,long intergenic non-protein coding RNA 1605 [Source:HGNC Symbol;Acc:HGNC:51654],44.29,5,132843,NA,812,NA,NA,4
 C8orf44,ENSG00000288596,56260,lncRNA,Human,8,66.667615,chromosome 8 open reading frame 44 [Source:HGNC Symbol;Acc:HGNC:25646],40.76,5,17950,NA,1111,NA,NA,3
 SLCO5A1-AS1,ENSG00000246528,101929759,lncRNA,Human,8,69.834087,SLCO5A1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55595],44.41,4,20885,NA,905,NA,NA,2
 RIPK2-DT,ENSG00000251136,101929709,lncRNA,Human,8,89.545424,RIPK2 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55545],38.01,41,212389,NA,1459,NA,NA,4
 OTUD6B-AS1,ENSG00000253738,NA,lncRNA,Human,8,91.059318,OTUD6B antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:50466],35.85,4,11266,NA,3722,NA,NA,2
 CFAP418-AS1,ENSG00000253773,NA,lncRNA,Human,8,95.204456,CFAP418 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50444],40.05,10,606799,NA,1196,NA,NA,3
 ,ENSG00000253395,NA,lncRNA,Human,8,101.122145,novel transcript,46.39,1,4014,NA,430,NA,NA,3
 ,ENSG00000253259,NA,lncRNA,Human,8,130.89207,novel transcript,44.55,1,716,NA,474,NA,NA,2
 ,ENSG00000227301,NA,lncRNA,Human,9,33.71969,novel transcript,52.41,1,2866,NA,1144,NA,NA,2
 HNRNPK-AS1,ENSG00000235298,NA,lncRNA,Human,9,83.972233,HNRNPK antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56061],37.49,1,3545,NA,390,NA,NA,2
 LINC02834,ENSG00000285686,105376124,lncRNA,Human,9,86.669349,long intergenic non-protein coding RNA 2834 [Source:HGNC Symbol;Acc:HGNC:54368],39.97,1,38959,NA,1446,NA,NA,3
 ,ENSG00000282952,NA,lncRNA,Human,10,78.538391,novel transcript,47.59,1,13329,NA,572,NA,NA,3
 ,ENSG00000233258,NA,lncRNA,Human,10,83.911654,novel transcript,49.09,1,1269,NA,309,NA,NA,2
 ,ENSG00000287326,728158,lncRNA,Human,10,126.42593,"Novel transcript, antisense to C10orf90",42.14,1,35028,NA,2971,NA,NA,7
 LMNTD2-AS1,ENSG00000254815,692247,lncRNA,Human,11,0.557595,LMNTD2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41204],63.07,4,2513,NA,953,NA,NA,2
 MIR210HG,ENSG00000247095,100506211,lncRNA,Human,11,0.565657,MIR210 host gene [Source:HGNC Symbol;Acc:HGNC:39524],61.51,9,2801,NA,1071,NA,NA,2
 ,ENSG00000285751,NA,lncRNA,Human,11,39.024631,novel transcript,35.4,1,137008,NA,2383,NA,NA,3
 RELA-DT,ENSG00000285533,105369347,lncRNA,Human,11,65.662988,RELA divergent transcript [Source:HGNC Symbol;Acc:HGNC:54185],46.94,9,8731,NA,1149,NA,NA,3
 ,ENSG00000287851,NA,lncRNA,Human,11,67.316539,novel transcript,54.2,1,893,NA,893,NA,NA,1
 NDUFV1-DT,ENSG00000184224,100505621,lncRNA,Human,11,67.60288,NDUFV1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:26915],51.87,2,3827,NA,1778,NA,NA,2
 CHKA-DT,ENSG00000255236,NA,lncRNA,Human,11,68.121624,CHKA divergent transcript [Source:HGNC Symbol;Acc:HGNC:55504],53.12,2,8895,NA,1170,NA,NA,2
 LINC02712,ENSG00000273409,101929497,lncRNA,Human,11,127.271029,long intergenic non-protein coding RNA 2712 [Source:HGNC Symbol;Acc:HGNC:54229],37.02,2,66005,NA,442,NA,NA,3
 CD27-AS1,ENSG00000215039,678655,lncRNA,Human,12,6.439001,CD27 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43896],49.54,17,12607,NA,1498,NA,NA,5
 ,ENSG00000257657,NA,lncRNA,Human,12,45.47552,novel transcript,39.36,2,135101,NA,1641,NA,NA,4
 TMPO-AS1,ENSG00000257167,100128191,lncRNA,Human,12,98.512973,TMPO antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44158],49.57,2,3450,NA,2494,NA,NA,2
 ATXN8OS,ENSG00000230223,NA,lncRNA,Human,13,70.107213,ATXN8 opposite strand lncRNA [Source:HGNC Symbol;Acc:HGNC:10561],34.72,6,64526,NA,1833,NA,NA,5
 LINC02297,ENSG00000257504,NA,lncRNA,Human,14,18.630318,long intergenic non-protein coding RNA 2297 [Source:HGNC Symbol;Acc:HGNC:53214],36.99,1,3317,NA,1493,NA,NA,3
 ,ENSG00000273639,NA,lncRNA,Human,14,19.499737,novel transcript,41.04,2,178187,NA,570,NA,NA,6
 ,ENSG00000273558,NA,lncRNA,Human,14,19.637225,novel transcript,47.97,1,4082,NA,1837,NA,NA,3
 ,ENSG00000257395,NA,lncRNA,Human,14,19.68142,novel transcript,36.99,1,3320,NA,1493,NA,NA,3
 ,ENSG00000257826,NA,lncRNA,Human,14,36.061026,novel transcript,38.72,1,6165,NA,886,NA,NA,3
 ,ENSG00000274253,283683,lncRNA,Human,15,22.757835,"novel transcript, sense overlapping NIPA1",48.93,3,20907,NA,2036,NA,NA,4
 ,ENSG00000187951,100288637,lncRNA,Human,15,30.658717,novel transcript,41.65,2,114277,NA,3144,NA,NA,4
 LINC02349,ENSG00000259284,100506530,lncRNA,Human,15,61.729765,long intergenic non-protein coding RNA 2349 [Source:HGNC Symbol;Acc:HGNC:53271],36.49,3,1625,NA,1027,NA,NA,2
 ,ENSG00000260957,NA,lncRNA,Human,15,62.28419,novel transcript,42.72,1,817,NA,592,NA,NA,2
 ,ENSG00000248540,283731,lncRNA,Human,15,74.125915,novel transcript,56.32,4,3427,NA,2222,NA,NA,2
 ,ENSG00000260367,NA,lncRNA,Human,16,28.973962,"novel transcript, antisense to SPNS1",54.25,1,4863,NA,1478,NA,NA,2
 MMP2-AS1,ENSG00000260135,NA,lncRNA,Human,16,55.426797,MMP2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53142],44.19,4,35501,NA,769,NA,NA,3
 ,ENSG00000259798,NA,lncRNA,Human,16,71.113352,novel transcript HYDIN,41.14,1,649,NA,483,NA,NA,2
 ,ENSG00000273388,NA,lncRNA,Human,17,10.29182,"novel transcript, antisense to MYH13",46.09,1,26107,NA,523,NA,NA,2
 ,ENSG00000281856,NA,lncRNA,Human,17,19.219143,novel transcript,54.51,2,3385,NA,854,NA,NA,2
 ,ENSG00000285535,NA,lncRNA,Human,17,77.590532,novel transcript,48.08,2,90156,NA,2380,NA,NA,4
 ,ENSG00000265671,NA,lncRNA,Human,18,0.894435,"novel transcript, antisense to ADCYAP1",44.66,1,13246,NA,351,NA,NA,2
 ,ENSG00000266783,NA,lncRNA,Human,18,2.561172,"novel transcript, sense intronic METTL4",32.6,1,1049,NA,1049,NA,NA,1
 ,ENSG00000265069,101927188,lncRNA,Human,18,6.954677,"novel transcript, antisense to LAMA1",50.49,1,2743,NA,2295,NA,NA,2
 ,ENSG00000267239,NA,lncRNA,Human,18,13.203774,"novel transcript, antisense C18orf1",44.64,2,12594,NA,1150,NA,NA,2
 ,ENSG00000283294,NA,lncRNA,Human,18,14.225224,novel transcript,44.9,1,117282,NA,3505,NA,NA,13
 ,ENSG00000265737,NA,lncRNA,Human,18,14.816151,"novel transcript, antisense to ANKRD30B",37.44,1,9099,NA,586,NA,NA,2
 ,ENSG00000263821,NA,lncRNA,Human,18,14.978739,novel transcript,40.24,1,1101,NA,1101,NA,NA,1
 ,ENSG00000286293,NA,lncRNA,Human,18,15.184016,novel transcript,36.12,1,5745,NA,4140,NA,NA,2
 ,ENSG00000266968,NA,lncRNA,Human,18,45.646153,novel transcript,38.32,1,1785,NA,1785,NA,NA,1
 ,ENSG00000287758,NA,lncRNA,Human,18,78.926053,novel transcript,51.97,1,2442,NA,1245,NA,NA,3
 LINC01775,ENSG00000267201,101928602,lncRNA,Human,19,2.458935,long intergenic non-protein coding RNA 1775 [Source:HGNC Symbol;Acc:HGNC:52565],53.65,1,3251,NA,371,NA,NA,2
 ,ENSG00000267939,NA,lncRNA,Human,19,8.008729,novel transcript,46.55,1,7297,NA,421,NA,NA,2
 ,ENSG00000268597,NA,lncRNA,Human,19,22.259693,novel transcript,45.16,1,1643,NA,386,NA,NA,2
 ,ENSG00000267968,NA,lncRNA,Human,19,50.83053,"novel transcript, antisense to KLK15",49.8,1,20560,NA,392,NA,NA,3
 ,ENSG00000223660,NA,lncRNA,Human,19,54.199454,novel transcript,50.77,1,518,NA,410,NA,NA,2
 LINC00261,ENSG00000259974,140828,lncRNA,Human,20,22.547663,long intergenic non-protein coding RNA 261 [Source:HGNC Symbol;Acc:HGNC:16189],45.16,8,30980,NA,1413,NA,NA,4
 ,ENSG00000225458,NA,lncRNA,Human,20,41.99114,novel transcript,43,1,72830,NA,594,NA,NA,2
 R3HDML-AS1,ENSG00000226812,NA,lncRNA,Human,20,44.347552,R3HDML antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55830],45.94,2,7634,NA,570,NA,NA,3
 ,ENSG00000286006,NA,lncRNA,Human,20,55.775176,novel transcript,37.19,2,6056,NA,1046,NA,NA,4
 ,ENSG00000254620,NA,lncRNA,Human,20,58.594417,novel transcript,45.67,1,9557,NA,507,NA,NA,2
 ,ENSG00000226433,NA,lncRNA,Human,21,33.152614,novel transcript,44.96,2,6497,NA,866,NA,NA,3
 ,ENSG00000230479,NA,lncRNA,Human,21,36.43036,novel transcript,47.32,1,50711,NA,893,NA,NA,2
 ZNF295-AS1,ENSG00000237232,150142,lncRNA,Human,21,42.009194,ZNF295 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:23130],50.2,11,45937,NA,1253,NA,NA,2
 ,ENSG00000233408,NA,lncRNA,Human,22,15.557577,novel transcript,37.01,1,3118,NA,1294,NA,NA,3
 BCRP3,ENSG00000215481,NA,lncRNA,Human,22,24.632915,BCR pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:1016],51.73,2,17098,NA,1239,NA,NA,5
 ,ENSG00000227484,NA,lncRNA,Human,22,50.314631,novel transcript,62.63,1,1378,NA,531,NA,NA,2
 ,ENSG00000287171,NA,lncRNA,Human,X,8.487165,novel transcript,38.37,1,17400,NA,4076,NA,NA,5
 LINC02154,ENSG00000235385,109729169,lncRNA,Human,X,13.266041,long intergenic non-protein coding RNA 2154 [Source:HGNC Symbol;Acc:HGNC:53015],38.47,3,37412,NA,1287,NA,NA,2
 ,ENSG00000236393,101927476,lncRNA,Human,X,40.262917,novel transcript,48.08,3,36145,NA,1477,NA,NA,2
 ,ENSG00000204620,NA,lncRNA,Human,X,48.568014,"novel transcript, antisense to RBM3",47.57,1,6847,NA,549,NA,NA,2
 IRS4-AS1,ENSG00000237863,NA,lncRNA,Human,X,108.736011,IRS4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55650],48.18,5,3213,NA,1146,NA,NA,3
 LINC01201,ENSG00000228659,104266960,lncRNA,Human,X,130.98159,long intergenic non-protein coding RNA 1201 [Source:HGNC Symbol;Acc:HGNC:49632],41.35,2,76557,NA,348,NA,NA,2
 MIR101-1,ENSG00000199135,406893,miRNA,Human,1,65.058434,microRNA 101-1 [Source:HGNC Symbol;Acc:HGNC:31488],45.33,1,75,NA,75,NA,NA,1
 MIR4292,ENSG00000265806,100422860,miRNA,Human,9,136.830957,microRNA 4292 [Source:HGNC Symbol;Acc:HGNC:38348],70.15,1,67,NA,67,NA,NA,1
 MIR4483,ENSG00000283656,100616162,miRNA,Human,10,113.777993,microRNA 4483 [Source:HGNC Symbol;Acc:HGNC:41761],32.26,1,62,NA,62,NA,NA,1
 MIR210,ENSG00000199038,406992,miRNA,Human,11,0.568089,microRNA 210 [Source:HGNC Symbol;Acc:HGNC:31587],72.73,1,110,NA,110,NA,NA,1
 MIR3685,ENSG00000265917,100500802,miRNA,Human,12,95.309923,microRNA 3685 [Source:HGNC Symbol;Acc:HGNC:38886],45.16,1,62,NA,62,NA,NA,1
 MIR3908,ENSG00000266655,100500909,miRNA,Human,12,123.536409,microRNA 3908 [Source:HGNC Symbol;Acc:HGNC:38991],31.75,1,126,NA,126,NA,NA,1
 MIR6774,ENSG00000274134,102466732,miRNA,Human,16,85.918347,microRNA 6774 [Source:HGNC Symbol;Acc:HGNC:50202],61.43,1,70,NA,70,NA,NA,1
 ,ENSG00000263453,NA,miRNA,Human,20,57.895394,,66.67,1,51,NA,51,NA,NA,1
 RN7SL654P,ENSG00000244568,NA,misc_RNA,Human,1,184.335658,"RNA, 7SL, cytoplasmic 654, pseudogene [Source:HGNC Symbol;Acc:HGNC:46670]",50.34,1,292,NA,292,NA,NA,1
 RNY4P19,ENSG00000199400,NA,misc_RNA,Human,2,230.058229,RNY4 pseudogene 19 [Source:HGNC Symbol;Acc:HGNC:34069],37.5,1,96,NA,96,NA,NA,1
 RN7SL255P,ENSG00000239808,NA,misc_RNA,Human,5,104.260531,"RNA, 7SL, cytoplasmic 255, pseudogene [Source:HGNC Symbol;Acc:HGNC:46271]",50.68,1,296,NA,296,NA,NA,1
 Y_RNA,ENSG00000207488,NA,misc_RNA,Human,7,90.251923,Y RNA [Source:RFAM;Acc:RF00019],44.9,1,98,NA,98,NA,NA,1
 RN7SL563P,ENSG00000239211,NA,misc_RNA,Human,8,101.397636,"RNA, 7SL, cytoplasmic 563, pseudogene [Source:HGNC Symbol;Acc:HGNC:46579]",54.7,1,298,NA,298,NA,NA,1
 Y_RNA,ENSG00000252621,NA,misc_RNA,Human,10,37.303,Y RNA [Source:RFAM;Acc:RF00019],39.09,1,110,NA,110,NA,NA,1
 RN7SL714P,ENSG00000241757,NA,misc_RNA,Human,14,98.351367,"RNA, 7SL, cytoplasmic 714, pseudogene [Source:HGNC Symbol;Acc:HGNC:46730]",51.34,1,298,NA,298,NA,NA,1
 Y_RNA,ENSG00000222881,NA,misc_RNA,Human,17,40.391232,Y RNA [Source:RFAM;Acc:RF00019],38.32,1,107,NA,107,NA,NA,1
 Y_RNA,ENSG00000202224,NA,misc_RNA,Human,18,2.62109,Y RNA [Source:RFAM;Acc:RF00019],36.61,1,112,NA,112,NA,NA,1
 NDUFS5P3,ENSG00000233664,NA,processed_pseudogene,Human,1,52.709122,NADH:ubiquinone oxidoreductase subunit S5 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:44041],44.86,1,321,NA,321,NA,NA,1
 ELL2P1,ENSG00000227295,NA,processed_pseudogene,Human,1,158.17585,elongation factor for RNA polymerase II 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39343],45.44,1,1906,NA,1906,NA,NA,1
 ,ENSG00000228191,NA,processed_pseudogene,Human,1,179.271116,ribosomal protein L39-like (RPL39L) pseudogene,43.05,1,151,NA,151,NA,NA,1
 ,ENSG00000213690,NA,processed_pseudogene,Human,1,242.376923,novel zinc finger protein pseudogene,49.41,1,510,NA,510,NA,NA,1
 SNRPEP11,ENSG00000230299,NA,processed_pseudogene,Human,2,85.262144,SNRPE pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:54746],40.32,1,124,NA,124,NA,NA,1
 SOWAHCP5,ENSG00000278631,NA,processed_pseudogene,Human,2,94.861362,SOWAHC pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:54509],62.94,1,1306,NA,1306,NA,NA,1
 HMGN1P36,ENSG00000235734,NA,processed_pseudogene,Human,2,97.827248,high mobility group nucleosome binding domain 1 pseudogene 36 [Source:HGNC Symbol;Acc:HGNC:39380],49.66,1,298,NA,298,NA,NA,1
 YWHAZP2,ENSG00000213236,NA,processed_pseudogene,Human,2,126.557435,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:31078],42.45,1,728,NA,728,NA,NA,1
 NEK2P4,ENSG00000230450,NA,processed_pseudogene,Human,2,131.177618,NEK2 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:37818],43.49,1,1329,NA,1329,NA,NA,1
 UBBP1,ENSG00000230037,NA,processed_pseudogene,Human,2,136.329441,ubiquitin B pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:12464],53.7,1,473,NA,473,NA,NA,1
